operacao,num_bits,a_dec,b_dec,a_bin,b_bin,res_dec,res_bin,overflow,tempo_us
mul,4,7,3,0111,0011,5,0101,True,7
mul,4,7,4,0111,0100,-4,1100,True,7
mul,4,7,5,0111,0101,3,0011,True,7
mul,4,7,6,0111,0110,-6,1010,True,7
mul,4,7,7,0111,0111,1,0001,True,7
div,4,7,1,0111,0001,7,0111,False,2
div,4,7,2,0111,0010,3,0011,False,2
div,4,7,3,0111,0011,2,0010,False,3
div,4,7,4,0111,0100,1,0001,False,2
div,4,7,5,0111,0101,1,0001,False,2
fact,4,3,0,0011,0000,6,0110,False,4
fact,4,4,0,0100,0000,-8,1000,True,4
fact,4,5,0,0101,0000,-8,1000,True,4
fact,4,6,0,0110,0000,0,0000,True,4
fact,4,7,0,0111,0000,0,0000,True,5
