operacao,num_bits,a_dec,b_dec,a_bin,b_bin,res_dec,res_bin,overflow,tempo_us
mul,4,7,3,0111,0011,21,0101,True,0.677
mul,4,7,4,0111,0100,28,1100,True,0.677
mul,4,7,5,0111,0101,35,0011,True,0.625
mul,4,7,6,0111,0110,42,1010,True,0.625
mul,4,7,7,0111,0111,49,0001,True,0.469
div,4,7,1,0111,0001,7.000,,False,0.417
div,4,7,2,0111,0010,3.500,,False,0.469
div,4,7,3,0111,0011,2.333,,False,0.417
div,4,7,4,0111,0100,1.750,,False,0.625
div,4,7,5,0111,0101,1.400,,False,0.365
fact,4,3,0,0011,0000,6,0110,False,0.313
fact,4,4,0,0100,0000,24,11000,True,0.417
fact,4,5,0,0101,0000,120,1111000,True,0.364
fact,4,6,0,0110,0000,720,1011010000,True,0.521
fact,4,7,0,0111,0000,5040,1001110110000,True,0.521
